Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
clamorous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clarity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clash,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
classic,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
classy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clean,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cleaner,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cleanest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cleanliness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cleanly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clear,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clear-cut,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cleared,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clearer,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clearly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clears,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
clever,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cleverly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cliche,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cliched,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clique,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clog,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clogged,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clogs,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cloud,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clouding,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cloudy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clueless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clumsy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
clunky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
coarse,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cocky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
coerce,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
coercion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
coercive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cohere,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
coherence,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
coherent,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cohesive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cold,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
coldly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
collapse,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
collude,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
collusion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
colorful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
combative,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
combust,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
comely,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
comfort,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
comfortable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
comfortably,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
comforting,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
comfy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
comical,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
commend,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
commendable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
commendably,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
commiserate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
commitment,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
commodious,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
commonplace,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
commotion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
commotions,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
compact,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
compactly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
compassion,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
compassionate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
compatible,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
competitive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
complacent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complain,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complained,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complaining,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complains,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complaint,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complaints,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complement,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
complementary,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
complemented,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
complements,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
complex,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
compliant,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
complicated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complication,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
complicit,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
compliment,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
complimentary,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
comprehensive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
compulsion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
compulsive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concede,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conceded,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conceit,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conceited,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concen,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concens,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concern,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concerned,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concerns,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concession,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
concessions,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conciliate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
conciliatory,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
concise,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
condemn,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condemnable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condemnation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condemned,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condemns,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condescend,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condescending,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condescendingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
condescension,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confess,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confession,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confessions,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confidence,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
confident,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
confined,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conflict,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conflicted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conflicting,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conflicts,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confound,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confounded,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confounding,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confront,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confrontation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confrontational,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confuse,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confused,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confuses,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confusing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confusion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
confusions,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
congenial,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
congested,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
congestion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
congratulate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
congratulation,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
congratulations,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
congratulatory,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cons,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conscientious,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
conscons,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conservative,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
considerate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
consistent,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
consistently,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
conspicuous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conspicuously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conspiracies,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conspiracy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conspirator,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conspiratorial,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
conspire,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
consternation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
constructive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
consummate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
contagious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contaminate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contaminated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contaminates,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contaminating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contamination,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contempt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contemptible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contemptuous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contemptuously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contend,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contention,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contentious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contentment,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
continuity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
contort,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contortions,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contradict,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contradiction,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contradictory,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contrariness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contrasty,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
contravene,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contribution,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
contrive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
contrived,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
controversial,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
controversy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
convenience,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
convenient,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
conveniently,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
convience,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
convienient,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
convient,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
convincing,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
convincingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
convoluted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
cool,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
coolest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cooperative,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cooperatively,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
cornerstone,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
correct,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
correctly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
corrode,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
corrosion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
corrosions,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
corrosive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
corrupt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
corrupted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
corrupting,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
